LAT	LON	YEAR	TminJJA		YEAR	TminSO		YEAR	TmaxJAN
-69.5217	-75	2012-06	-40.4						
-69.5217	-75	2012-07	-36.6						
-69.5217	-75	2012-08	-36.8						
-69.5217	-75	2013-06	-43.4						
-69.5217	-75	2013-07	-39.8						
-69.5217	-75	2013-08	-42.0						
-69.5217	-75	2014-06	-27.3						
-69.5217	-75	2014-07	-51.0						
-69.5217	-75	2014-08	-38.8						
-69.5217	-75	2015-06	-37.9						
-69.5217	-75	2015-07	-36.4						
-69.5217	-75	2015-08	-45.6						
-69.5217	-75	2016-06	-24.2						
-69.5217	-75	2016-07	-52.3						
-69.5217	-75	2016-08	-42.3						
-69.5217	-75	2017-06	-31.8						
-69.5217	-75	2017-07	-42.4						
-69.5217	-75	2017-08	-37.5						
-69.5217	-75	2018-06	-41.3						
-69.5217	-75	2018-07	-38.4						
-69.5217	-75	2018-08	-43.9						
-69.5217	-75	2019-06	-26.5						
-69.5217	-75	2019-07	-37.2						
-69.5217	-75	2019-08	-41.4						
-69.5217	-75	2020-06	-29.0						
-69.5217	-75	2020-07	-33.0						
-69.5217	-75	2020-08	-41.1						

